pH,pMg,ATP平衡浓度 (M),K_eq,ΔG'° (kJ/mol)
8.0,4.0,5.856164930008933e-06,28818.531610058977,-25.45584928911603
8.0,5.0,5.057522294880674e-06,38700.8348683104,-26.186751260741403
8.0,6.0,4.96471866680997e-06,40168.69038847505,-26.279034584656756
8.0,7.0,4.955279571642159e-06,40322.632305530875,-26.288516746210348
8.0,8.0,4.954334037047961e-06,40338.10158397339,-26.289467584992963
8.0,9.0,4.954239467299011e-06,40339.64926637974,-26.289562695184827
8.0,10.0,4.9542300101610304e-06,40339.80404216999,-26.289572206467255
8.5,2.0,7.157138926605503e-06,19243.414745034752,-24.454723167350608
8.5,3.0,5.28874302996871e-06,35374.40417807815,-25.963960798890298
8.5,4.0,3.322718303188461e-06,89975.04458715521,-28.278175855360473
8.5,5.0,2.8657852989993383e-06,121065.3706446153,-29.01392609609252
8.5,6.0,2.81260087993721e-06,125700.59901461638,-29.107066034914055
8.5,7.0,2.8071903659286027e-06,126186.98015253322,-29.116639507678542
8.5,8.0,2.8066483716724863e-06,126235.8582318975,-29.117599536974808
8.5,9.0,2.8065941627955157e-06,126240.7484514434,-29.1176955668152
8.5,10.0,2.8065887418132762e-06,126241.23749753331,-29.117705170068575
9.0,2.0,4.009729758722115e-06,61699.264114460086,-27.342963669874848
9.0,3.0,2.962305632490036e-06,113282.6570252126,-28.84921286735471
9.0,4.0,1.8609670388840954e-06,287676.71877781587,-31.159479995481433
9.0,5.0,1.6050153008521743e-06,386942.4948968519,-31.89433890520104
9.0,6.0,1.5752261007849835e-06,401739.83672134386,-31.9873707335953
9.0,7.0,1.5721956410068988e-06,403292.5115014794,-31.99693312904958
9.0,8.0,1.5718920672520061e-06,403448.54469163995,-31.997892047838832
9.0,9.0,1.5718617045858488e-06,403464.15570589626,-31.99798796660059
9.0,10.0,1.571858668266389e-06,403465.71688430285,-31.997997558745624
9.5,2.0,2.205096033912942e-06,204751.714395686,-30.31653730735104
9.5,3.0,1.6244341042362647e-06,377731.92313285207,-31.834617498558714
9.5,4.0,1.021700397840341e-06,956015.6102121606,-34.13655095637421
9.5,5.0,8.824718334963285e-07,1281833.0091258492,-34.863559962919226
9.5,6.0,8.662944133580337e-07,1330197.7005205376,-34.95537182091675
9.5,7.0,8.646490289149732e-07,1335269.5165155837,-34.96480568602465
9.5,8.0,8.644842074924039e-07,1335779.1672266952,-34.965751683179974
9.5,9.0,8.644677225136572e-07,1335830.157109997,-34.96584630908842
9.5,10.0,8.644660739872898e-07,1335835.256346691,-34.965855771941506
10.0,2.0,1.159696096330676e-06,741828.8610723073,-33.507749448933396
10.0,3.0,8.476859475782528e-07,1389291.663111282,-35.06312326825946
10.0,4.0,5.357313411014693e-07,3480490.3739776225,-37.339745776373434
10.0,5.0,4.6505966707884386e-07,4619325.944424859,-38.04147802255329
10.0,6.0,4.5689133412653987e-07,4786049.839588255,-38.12937343039516
10.0,7.0,4.560610990743917e-07,4803499.180377235,-38.13839496282833
10.0,8.0,4.559779385063332e-07,4805252.249588574,-38.13929950975614
10.0,9.0,4.559696210758215e-07,4805427.638242883,-38.13938998846163
10.0,10.0,4.55968789319066e-07,4805445.17792694,-38.139399036572854
